,ensembl_gene_id,log2FoldChange,padj,-log10(padj),hgnc_symbol
18624,ENSG00000196344,-0.4393210198893471,0.486463090041342,0.312950105857048,ADH7
18625,ENSG00000141084,-0.2567777648651314,0.0374246067372125,1.4268427545856013,RANBP10
18626,ENSG00000162409,-0.1352451022179269,0.7108997534610738,0.1481916363843856,PRKAA2
18627,ENSG00000112761,-1.0652696313976446,0.0402549292323544,1.3951809325050806,CCN6
18628,ENSG00000138622,-0.9870260781692092,0.0438964579627538,1.3575705218829768,HCN4
18629,ENSG00000139278,0.2227062472335405,0.3280274501682703,0.484089811904832,GLIPR1
18630,ENSG00000171425,-0.0069057747737051,0.9789964446919064,0.0092188853710094,ZNF581
18631,ENSG00000259494,-0.0711023850464691,0.7012419037975823,0.1541321398624589,MRPL46
18632,ENSG00000277491,-0.2211129898767821,0.4954535167398947,0.304997084610236,
18633,ENSG00000149591,0.0662122301576484,0.8368674513733122,0.0773433230051726,TAGLN
18634,ENSG00000148123,-0.3868157941407493,0.3982560697529466,0.399837596468141,PLPPR1
18635,ENSG00000173402,-0.1382002861565573,0.3859053351102627,0.4135192173007693,DAG1
18636,ENSG00000121281,0.0029121938602066,0.992348287368916,0.0033358754916123,ADCY7
18637,ENSG00000085760,0.0765805012745922,0.5399748774497855,0.2676264454339486,MTIF2
18638,ENSG00000217648,0.0009389340399338,0.9967011619680184,0.0014350354322415,PARLP2
18639,ENSG00000176399,-0.5761755773153775,0.0399660432246732,1.3983088462545752,DMRTA1
18640,ENSG00000213085,-0.1871092043634415,0.6643770679792129,0.1775853663199272,CFAP45
18641,ENSG00000124243,0.2913005308967556,0.1421474358776641,0.847260969911105,BCAS4
18642,ENSG00000100744,-0.0314731633000194,0.8994953966240932,0.0460010549152838,GSKIP
18643,ENSG00000265817,0.0861582675491301,0.7362270945558153,0.132988203733208,FSBP
18644,ENSG00000248334,-0.3229383621345553,0.1831981130348144,0.7370790039366623,WHAMMP2
18645,ENSG00000272370,-0.348281513952175,0.0399759034019416,1.3982017129964883,
18646,ENSG00000243696,-0.1539352064048532,0.638186338910556,0.195052496600143,
18647,ENSG00000239975,0.2920614014819777,0.5817287614339778,0.2352794635812453,IGKV1D-33
18648,ENSG00000172974,-0.3760183036243655,0.0762964955406025,1.1174954096510357,VDAC2P5
18649,ENSG00000274641,0.1681483073402996,0.7605204222168365,0.1188891193664115,H2BC17
18650,ENSG00000177675,0.0972512634004277,0.801250758851476,0.0962315461597376,CD163L1
18651,ENSG00000144824,0.007196076966927,0.9853256042425272,0.0064202316761562,PHLDB2
18652,ENSG00000266524,-1.060574747448166,0.0004834135085917,3.315681217757704,GDF10
18653,ENSG00000248049,0.1610672249410393,0.2197247005146983,0.6581211187997786,UBA6-DT
18654,ENSG00000107968,-0.1539853482766509,0.355205651325446,0.4495201332089426,MAP3K8
18655,ENSG00000122378,-0.1450315694674908,0.2872808325838878,0.5416933492281812,PRXL2A
18656,ENSG00000162437,-0.3117329867052796,0.0671490711442472,1.172959990437082,RAVER2
18657,ENSG00000203872,-0.0055870136130598,0.9887625399743976,0.0049079955224346,C6orf163
