LineageGroup	Sample2	loy	roy	n_total	loy_pct	roy_pct	lineageClass	eligible	pass_min_cells	used_for_enrichment
95	LL	11	2	13	0.8461538461538461	0.15384615384615385	LOY	True	True	True
95	LM0_Engraft	28	0	28	1.0	0.0	LOY	True	True	True
95	M	4	0	4	1.0	0.0	LOY	True	True	True
95	RL	2	2	4	0.5	0.5	LOY	True	True	True
97	LL	1	9	10	0.1	0.9	ROY	True	True	True
97	LM0_Engraft	0	7	7	0.0	1.0	ROY	True	True	True
97	M	2	10	12	0.16666666666666666	0.8333333333333334	ROY	True	True	True
97	RL	0	3	3	0.0	1.0	ROY	True	True	True
99	LL	1	4	5	0.2	0.8	ROY	True	True	True
99	LM0_Engraft	1	4	5	0.2	0.8	ROY	True	True	True
99	M	4	12	16	0.25	0.75	ROY	True	True	True
99	RL	0	5	5	0.0	1.0	ROY	True	True	True
